"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"CP1",30,30,6.77731039673181,0.85244884158143,2.26031717597377,3.56277247087974,3,0.234770417104802,0.66456512878684,0.225910346557727,0.156076517992823,0.327000723056546,0.273025298447455,0.443372301602029,4414,0.273025298447455,0.14755115841857,0.758396734087957,0.981078546337523,2.02701822414165,0.00723696418630544,0.021525329374652
"CP2",79,79.4285714285714,6.13699132189161,0.837053704731039,2.52723683043494,10.8050749047183,3,0.14989355563333,0.578388143254312,0.0776834344543242,0.173568124707834,0.273193415520378,0.33784870415043,0.487288921877899,5462,0.33784870415043,0.162946295268961,0.776891198119626,0.969745914452458,2.05713247803455,0.024246922743861,0.0825756169975876
"CP3",42,42.6,4.84187976578861,0.793468642681769,2.04632211859259,5.22550634653813,2,0.14193521783056,0.547486088278831,0.115282851566395,0.11601706113588,0.25760243314068,0.379909692583658,0.554091668213027,6142,0.379909692583658,0.206531357318231,0.913774973711882,0.984260647294906,2.0425504510577,0.0155873074781963,0.0125564421352137
"EA2",52,53.5,3.06608182666537,0.673850843997994,1.70155244908978,6.67253523247183,1,0.0966260806676468,0.430637179146386,0.0589631120512572,0.141555525252456,0.21837754709727,0.507267891383683,0.758582297272221,8201,0.507267891383683,0.326149156002006,0.947918599616503,0.98653986839587,2.04351103912528,0.0155254530834416,0.0185563184264242
"EA3",66,67.2,9.3805237945852,0.89339614483178,2.76881238707586,8.77769808936466,4,0.185617541156602,0.660868868095957,0.142129148402806,0.149121587568774,0.312114421114236,0.240304323622193,0.363270860394631,3885,0.240304323622193,0.10660385516822,0.597018618172821,0.967066420933081,2.0498032800166,0.023752087585823,0.0940186800272159
"EC1",24,24,2.39301124729131,0.582116464712852,1.19524190720742,2.76718714632807,1,0.113471887177584,0.37609240466407,0.0997088019704712,0.147114561092639,0.155631035845966,0.574194346508319,0.860642048617554,9283,0.574194346508319,0.417883535287148,0.973835591018742,0.9929633339454,2.03763309065349,0.0116286262138925,0.021277911795633
"EC2",26,26,2.29919080627298,0.565064370790081,1.13372020527229,3.02940298852504,1,0.0949441169333543,0.347970108326119,0.088430415625884,0.123227570474027,0.140018556318426,0.595719675882971,0.866951196882539,9631,0.595719675882971,0.434935629209919,0.985587926022144,0.993488934378316,2.04183368646648,0.0101441207397786,0.010020411950269
"EC3",21,21,2.32203764104464,0.569343759840983,1.10388920592209,2.37992556767247,1,0.111329074216437,0.362582056300278,0.110573221002126,0.101332108686177,0.15514010020412,0.582420981010701,0.874435578647863,9416,0.582420981010701,0.430656240159017,0.992886744603204,0.993824113951987,2.02828552447363,0.00785550813385291,0.00513391476464398
"EO1",21,21,4.03239812621736,0.752008614055661,1.73523959147608,2.37992556767247,2,0.205165136506758,0.569954607650591,0.192018958391303,0.163253501439883,0.287112636852848,0.377744788767242,0.628935485866271,6107,0.377744788767242,0.247991385944339,0.972845920702666,0.988378660298579,2.02828552447363,0.00253603018494464,0.00859776087090991
"EO2",22,22,2.76600356751243,0.638467566800958,1.38737497903638,2.50817199279189,1,0.139445109847782,0.448837245030086,0.125727434886929,0.117586801704236,0.218284159089503,0.53732912723449,0.785550813385291,8687,0.53732912723449,0.361532433199042,0.983732294179501,0.991855136359794,1.98495247850961,0.00432980763283231,0.00321642852724691
"EO3",21,21,2.47792397300312,0.596436367340177,1.27033180435848,2.37992556767247,1,0.131040008011617,0.417251582257475,0.117996379666815,0.11004029946222,0.204759695676378,0.576359250324736,0.830085977608709,9318,0.576359250324736,0.403563632659823,0.990598131997278,0.99270361025643,2.01920318019568,0.00599987629121049,0.00235046700068042
"ES1",21,21,2.40655332226488,0.584467964724393,1.2162758226007,2.37992556767247,1,0.128889831432047,0.399496422667254,0.114597777250709,0.12523141176641,0.181118946001113,0.577534483825076,0.853281375641739,9337,0.577534483825076,0.415532035275607,0.972969629492175,0.992937102500504,2.02828552447363,0.00593802189645574,0.0230716892435208
"ES2",15,15,2.27793744761172,0.561006382748376,1.06320568572147,1.63004882112424,1,0.166136780684934,0.392609297009611,0.151862496507448,0.0783682217478682,0.188717758396734,0.597080472567576,0.869177955093709,9653,0.597080472567576,0.438993617251624,0.994989794024865,0.994153140470683,1.98115614600558,0.00544318673841776,0.00501020597513457
"ES3",16,16,2.23861202261378,0.553294635292627,1.0628731656043,1.75251790369507,1,0.148887394074349,0.38335046127782,0.139913251413362,0.0843694718016068,0.186313684253933,0.607224593307354,0.874126306674089,9817,0.607224593307354,0.446705364707373,0.993505288550751,0.994148282795702,1.99410688492286,0.00649471144924847,0.00618543947547479
"FA1",22,22,4.30699227075393,0.767819411520571,1.89730308606127,2.50817199279189,2,0.227562318302715,0.613806867647486,0.195772375943361,0.168933185453126,0.329091889121579,0.38059009092596,0.636790994000124,6153,0.38059009092596,0.232180588479429,0.940990907403971,0.986168418182342,2.01469565295126,0.00241232139543515,0.0331539555885445
"FA2",26,26,2.76839208401709,0.638779490169274,1.64606293130412,3.02940298852504,1,0.179941571387109,0.505222270762952,0.106476618616042,0.147029584360788,0.311300797921692,0.581307601905115,0.682934372487165,9398,0.581307601905115,0.361220509830726,0.854951444300117,0.988061939889834,1.98105173698509,0.00643285705449372,0.0358755489577535
"FA3",44,44,10.3243538398344,0.903141638158341,2.76309283628562,5.5107712543571,4,0.269697813165989,0.73016764580707,0.234644405450781,0.162400104277631,0.411758951985166,0.222490257932826,0.34749798973217,3597,0.222490257932826,0.0968583618416593,0.596709346199047,0.968573271712107,2.01224795180032,0.0123090245561947,0.127420053194779
"GS1",58,58.6,6.3510810792488,0.842546491294632,2.37466527779594,7.56412017890813,2,0.145529526941855,0.584829111411758,0.109501397918083,0.139073770875253,0.266246273815298,0.297705201954599,0.505783385909569,4813,0.297705201954599,0.157453508705368,0.543081585946682,0.977413916332054,2.05273667563418,0.0227005628749923,0.0476897383559102
"GS2",57,61.2,3.13465260673738,0.680985383244485,1.81502088354523,7.41437925370453,1,0.0992025123735919,0.448923539007546,0.0549939053813575,0.13496217665663,0.211465816610556,0.53250448444362,0.681202449434032,8609,0.53250448444362,0.319014616755515,0.681140595039278,0.984979583192056,2.05491706852258,0.018123337663141,0.0378548895899053
"GS3",46,46,3.64250689959292,0.725463800737959,1.95437977348218,5.79816524900906,2,0.149394499261781,0.510463000079967,0.079184932599846,0.173856604742497,0.282306206744878,0.45654728768479,0.700439166202759,7381,0.45654728768479,0.274536199262041,0.121482031298324,0.982165046308216,2.02285361041214,0.017133667347065,0.0748438176532442
"GU1",74,74,19.3189927971729,0.948237467113382,3.39141612573446,10.017593697391,7,0.293866885999007,0.787956513736114,0.261067470232066,0.1761904393344,0.453457957228957,0.120863487350776,0.237830147832003,1954,0.120863487350776,0.0517625328866181,0.282489020844931,0.94099884160644,2.03314345348382,0.0165151233995175,0.193666109977114
"GU2",63,63,5.37890217887695,0.814088457691791,2.5896787487197,8.31941285255259,3,0.198936497136534,0.625052990003824,0.0853793996647135,0.222019747984171,0.357349798574156,0.404651450485557,0.479371559349292,6542,0.404651450485557,0.185911542308209,0.584152904063834,0.966062825282061,2.05174921687821,0.0207830766375951,0.0942042432114801
"GU3",69,70,2.27164450603092,0.55979027645165,1.66848173184241,9.2396799836759,1,0.103254706536755,0.394057572720674,0.0329223841453757,0.197901347574726,0.22267582111709,0.651450485556999,0.765695552669017,10532,0.651450485556999,0.44020972354835,0.781592132120987,0.980426970200107,2.05558424068942,0.0335869363518278,0.0831323065503804
"LH1",67,67,13.2607742314329,0.924589621801295,3.10154727774048,8.93128646342172,5,0.253098028137287,0.737639480098246,0.197922003454222,0.204358293499801,0.390700472904964,0.165893486732232,0.310694624853096,2682,0.165893486732232,0.0754103781987052,0.318488278592194,0.954370401603422,2.03353574928542,0.01837075524216,0.311189460011134
