"";"reads.in";"reads.out"
"CP1_S37_R1_001.fastq.gz";67322;60178
"CP2_S38_R1_001.fastq.gz";67829;60749
"CP3_S39_R1_001.fastq.gz";40301;34110
"EA1_S46_R1_001.fastq.gz";65685;57251
"EA2_S47_R1_001.fastq.gz";25696;18434
"EA3_S48_R1_001.fastq.gz";55687;35159
"EC1_S49_R1_001.fastq.gz";108013;96566
"EC2_S50_R1_001.fastq.gz";105067;92401
"EC3_S51_R1_001.fastq.gz";88277;79279
"EO1_S55_R1_001.fastq.gz";71861;64497
"EO2_S56_R1_001.fastq.gz";83185;77234
"EO3_S57_R1_001.fastq.gz";71318;65387
"ES1_S52_R1_001.fastq.gz";102512;93431
"ES2_S53_R1_001.fastq.gz";114508;104625
"ES3_S54_R1_001.fastq.gz";132668;108232
"FA1_S58_R1_001.fastq.gz";72479;65756
"FA2_S59_R1_001.fastq.gz";89303;82978
"FA3_S60_R1_001.fastq.gz";83860;77480
"GS1_S31_R1_001.fastq.gz";88345;71276
"GS2_S32_R1_001.fastq.gz";39541;35925
"GS3_S33_R1_001.fastq.gz";48936;38124
"GU1_S40_R1_001.fastq.gz";73197;58719
"GU2_S41_R1_001.fastq.gz";72557;65156
"GU3_S42_R1_001.fastq.gz";39812;33952
"LH1_S34_R1_001.fastq.gz";46548;41594
"LH2_S35_R1_001.fastq.gz";71741;63442
"LH3_S36_R1_001.fastq.gz";77743;71084
"WS1_S43_R1_001.fastq.gz";61948;46187
"WS2_S44_R1_001.fastq.gz";58291;43613
"WS3_S45_R1_001.fastq.gz";86017;71627
