"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"1";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Trichosporonales";"f__Trichosporonaceae";"g__Trichosporon";NA
"2";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Saccharomycetaceae";"g__Issatchenkia";"s__orientalis"
"3";"k__Fungi";"p__Ascomycota";"c__Eurotiomycetes";"o__Eurotiales";"f__Aspergillaceae";"g__Aspergillus";"s__flavus"
"4";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Physalacriaceae";"g__Strobilurus";NA
"5";"k__Fungi";NA;NA;NA;NA;NA;NA
"6";"k__Fungi";"p__Ascomycota";"c__Eurotiomycetes";"o__Eurotiales";"f__Aspergillaceae";"g__Penicillium";"s__aurantiogriseum"
"7";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__restricta"
"8";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__globosa"
"9";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Erysiphales";"f__Erysiphaceae";"g__Blumeria";NA
"10";"k__Fungi";NA;NA;NA;NA;NA;NA
"11";"k__Fungi";NA;NA;NA;NA;NA;NA
"12";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Erysiphales";"f__Erysiphaceae";"g__Blumeria";NA
"13";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Saccharomycetaceae";"g__Saccharomyces";NA
"14";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Diatrypaceae";"g__Eutypa";"s__spinosa"
"15";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__restricta"
"16";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Capnodiales";"f__Mycosphaerellaceae";"g__Mycosphaerella";"s__tassiana"
"17";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Saccharomycetaceae";"g__Issatchenkia";"s__orientalis"
"18";"k__Fungi";NA;NA;NA;NA;NA;NA
"19";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Polyporales";"f__Polyporaceae";"g__Trametes";NA
"20";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Diatrypaceae";"g__Diatrype";NA
"21";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Pleurotaceae";"g__Pleurotus";"s__parsonsiae"
"22";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Erysiphales";"f__Erysiphaceae";"g__Blumeria";NA
"23";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Polyporales";"f__Phanerochaetaceae";"g__Bjerkandera";"s__adusta"
"24";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Tremellales";"f__Bulleribasidiaceae";"g__Vishniacozyma";NA
"25";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Saccharomycetales_fam_Incertae_sedis";"g__Candida";"s__sorbosivorans"
"26";"k__Fungi";NA;NA;NA;NA;NA;NA
"27";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Filobasidiales";"f__Piskurozymaceae";"g__Solicoccozyma";NA
"28";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Trichosporonales";"f__Trichosporonaceae";"g__Trichosporon";"s__asahii"
"29";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Tricholomataceae";"g__Mycena";"s__plumipes"
"30";"k__Fungi";NA;NA;NA;NA;NA;NA
"31";"k__Fungi";"p__Ascomycota";"c__Saccharomycetes";"o__Saccharomycetales";"f__Debaryomycetaceae";"g__Debaryomyces";"s__hansenii"
"32";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__restricta"
"33";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Polyporales";"f__Meruliaceae";"g__Mycoacia";"s__uda"
