"";"reads.in";"reads.out"
"CP1_S7_R1_001_trimmed.fastq.gz";28436;28399
"CP2_S8_R1_001_trimmed.fastq.gz";25992;25766
"CP3_S9_R1_001_trimmed.fastq.gz";27915;27821
"EA1_S16_R1_001_trimmed.fastq.gz";831;786
"EA2_S17_R1_001_trimmed.fastq.gz";33115;33068
"EA3_S18_R1_001_trimmed.fastq.gz";37313;37218
"EC1_S19_R1_001_trimmed.fastq.gz";21482;21314
"EC2_S20_R1_001_trimmed.fastq.gz";27384;27259
"EC3_S21_R1_001_trimmed.fastq.gz";22079;21988
"EO1_S25_R1_001_trimmed.fastq.gz";40207;39574
"EO2_S26_R1_001_trimmed.fastq.gz";28422;28333
"EO3_S27_R1_001_trimmed.fastq.gz";27393;27264
"ES1_S22_R1_001_trimmed.fastq.gz";32249;32105
"ES2_S23_R1_001_trimmed.fastq.gz";29559;29426
"ES3_S24_R1_001_trimmed.fastq.gz";27258;27117
"FA1_S28_R1_001_trimmed.fastq.gz";26474;26057
"FA2_S29_R1_001_trimmed.fastq.gz";38295;38013
"FA3_S30_R1_001_trimmed.fastq.gz";30146;29770
"GS1_S1_R1_001_trimmed.fastq.gz";64253;64178
"GS2_S2_R1_001_trimmed.fastq.gz";45465;45446
"GS3_S3_R1_001_trimmed.fastq.gz";42783;42757
"GU1_S10_R1_001_trimmed.fastq.gz";50884;50763
"GU2_S11_R1_001_trimmed.fastq.gz";35560;35466
"GU3_S12_R1_001_trimmed.fastq.gz";33745;33545
"LH1_S4_R1_001_trimmed.fastq.gz";25777;24025
"LH2_S5_R1_001_trimmed.fastq.gz";45433;45241
"LH3_S6_R1_001_trimmed.fastq.gz";32140;31226
"WS1_S13_R1_001_trimmed.fastq.gz";23072;22774
"WS2_S14_R1_001_trimmed.fastq.gz";26112;25988
"WS3_S15_R1_001_trimmed.fastq.gz";21156;21043
