"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"CP1";28436;28399;28326;28358;28253;27126
"CP2";25992;25766;25677;25705;25564;22595
"CP3";27915;27821;27771;27780;27698;25839
"EA1";831;786;754;772;747;679
"EA2";33115;33068;33003;33033;32948;29696
"EA3";37313;37218;37135;37164;37014;33816
"EC1";21482;21314;21240;21259;21138;17895
"EC2";27384;27259;27209;27209;27170;23799
"EC3";22079;21988;21899;21956;21869;19414
"EO1";40207;39574;39529;39517;39468;36434
"EO2";28422;28333;28273;28296;28229;25588
"EO3";27393;27264;27200;27221;27148;24276
"ES1";32249;32105;32049;32060;31988;28465
"ES2";29559;29426;29381;29393;29354;26107
"ES3";27258;27117;27019;27062;26994;24045
"FA1";26474;26057;25957;25999;25897;24239
"FA2";38295;38013;37918;37978;37849;36990
"FA3";30146;29770;29682;29742;29639;27849
"GS1";64253;64178;64005;64080;63429;48924
"GS2";45465;45446;45312;45346;44966;36301
"GS3";42783;42757;42584;42644;42202;31084
"GU1";50884;50763;50579;50569;49971;22949
"GU2";35560;35466;35368;35369;35022;22338
"GU3";33745;33545;33343;33396;32797;22421
"LH1";25777;24025;23944;23917;23775;16167
"LH2";45433;45241;45196;45188;45081;43798
"LH3";32140;31226;31111;31179;31010;21901
"WS1";23072;22774;22678;22679;22498;19843
"WS2";26112;25988;25904;25866;25737;24156
"WS3";21156;21043;20877;20942;20757;19030
