"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"CP1";67322;60178;60083;59902;879;879
"CP2";67829;60749;60651;60639;3620;3620
"CP3";40301;34110;33978;34020;1325;1325
"EA1";65685;57251;57105;57006;6003;6003
"EA2";25696;18434;18250;18241;15927;15927
"EA3";55687;35159;34994;34866;24525;24525
"EC1";108013;96566;96500;96400;47369;47369
"EC2";105067;92401;92312;92257;39499;39499
"EC3";88277;79279;79098;79117;5640;5640
"EO1";71861;64497;64132;64317;695;695
"EO2";83185;77234;77071;77099;1337;1336
"EO3";71318;65387;65262;65240;1231;1231
"ES1";102512;93431;93309;93279;1145;1145
"ES2";114508;104625;104458;104467;8635;8635
"ES3";132668;108232;108119;108088;13434;13423
"FA1";72479;65756;65637;65638;1045;1045
"FA2";89303;82978;82848;82824;1912;1912
"FA3";83860;77480;77131;76800;1630;1630
"GS1";88345;71276;71044;71197;51852;51852
"GS2";39541;35925;35851;35824;2814;2814
"GS3";48936;38124;37879;37932;8107;8107
"GU1";73197;58719;58420;58472;49253;49253
"GU2";72557;65156;65074;64926;13324;13321
"GU3";39812;33952;33798;33684;16032;16032
"LH1";46548;41594;41530;41505;2766;2766
"LH2";71741;63442;63155;63307;3127;3127
"LH3";77743;71084;70955;70897;819;819
"WS1";61948;46187;45964;46029;43736;43238
"WS2";58291;43613;43302;43521;38568;38568
"WS3";86017;71627;71519;71258;64775;64719
